"id","section_id","title","order_number","url","description_id"
"34679a2e-692e-4435-836a-6449b83a0700","66bd1026-a3a7-4a45-92e5-ea06b91764bf","Стилизиране на хипервръзки","19","https://www.loom.com/embed/29b6978fb1cf4fa0b5cb15bc9208b60e?sid=e366e432-ae4f-428e-91e3-01c8a224694b","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"35bec28f-4473-4b18-aeb2-e45d006755c3","249c6614-b5f4-458b-9837-d1f4454c974d","Коригиране на текста (layout)","63","https://www.loom.com/embed/f61e44956d0f4de29c43dc7a67b4165c?sid=f4dac5de-3b8a-4b42-8171-89e096da9571","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"36db10fc-e4bd-4dfa-9b6c-265b19fd7a73","2b4b56cc-97fe-4211-b3e8-3c175ef37532","Деструктуриране на масиви","62","https://www.loom.com/embed/c69fb1874201485e8680cc2b5c307cba?sid=5725ceb1-ff71-42e6-83a6-20dbe467ae56","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"38a0686f-5410-4f28-bc7d-c71be9bb5659","9b649395-a843-45bf-b3bb-849884262530","Подравняване на елементи и тракове в Grid","49","https://www.loom.com/embed/761ebc52305f4cb096b01a19c3cd6ab8?sid=73611df7-1733-4074-99bc-f9eb7326b315","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"39231b7c-28fc-4cea-ab8f-e5392aae8c67","9e0be2f0-c846-4d75-bef0-4eea53dc0276","Какво е DOM и манипулиране на DOM","45","https://www.loom.com/embed/9f25681ea43e4e4297f01bf21e8a2a2b?sid=1b23f323-425d-451f-a9bc-fd297c4c4a99","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"395a54a7-70c7-4092-82cf-39bfde5158ef","249c6614-b5f4-458b-9837-d1f4454c974d","Създаване на бутон за меню","66","https://www.loom.com/embed/f113823d07a54aec930e7243ffa77e3b?sid=30c7e2bc-6c45-4d53-90fa-b93540b39213","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"3a35168e-a67d-41d1-8711-32e422b51478","ac357ecf-4898-4449-9dcd-89470fc6affc","Преглед на функции","29","https://www.loom.com/embed/a4ba179977004ebeaacbeec585449aef?sid=bb56354d-4403-4293-b21b-e77416298863","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"3d44baa6-2019-4dd7-90cb-3607b59f600c","263ca92b-8e8f-46ee-8af7-60b7bffd8e20","Следващи стъпки и портфолио проект #3","91","https://www.loom.com/embed/44e1f1d07cd247a78332cbe595a36ace?sid=3f719b46-b1b3-439e-98f3-ec2eb033c2d9","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"3fd91a20-89bf-45a4-8fc5-394114d02401","9e0be2f0-c846-4d75-bef0-4eea53dc0276","Манипулиране на CSS стилове","49","https://www.loom.com/embed/72a9fcd67dc7408d8eb7fe32cd593884?sid=f2654431-f510-467d-8eab-8302a0236089","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"4228d610-6d16-4543-bfb4-59afd3bde066","2b4b56cc-97fe-4211-b3e8-3c175ef37532","Деструктуриране на обекти","63","https://www.loom.com/embed/0b0a88db846a4b9d973d00c054a80381?sid=c1c21a75-8f93-4727-9e83-c07575fa1a5b","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"4485e71b-4a13-4356-9e81-5fcec76c27e8","66bd1026-a3a7-4a45-92e5-ea06b91764bf","Теория на CSS #5: Абсолютно позициониране","30","https://www.loom.com/embed/7f66b9364d15481dbad247a1b1a0e3e0?sid=8d4d1f71-1439-479c-a8da-ee5e2aac39cf","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"481341c4-a8c8-400a-8031-b22800938f5f","8b355045-0b41-49fd-ac9e-c4abe47e8671","Проверка на контраста на цветове с Coolors","17",,"6964e0bd-638e-4949-8045-e91f8f9d9157"
"483ed4f0-62d5-4290-8177-147d5fdd3cd0","9e0be2f0-c846-4d75-bef0-4eea53dc0276","Да упражним всичко научено. Стъпка 2 - CSS","57","https://www.loom.com/embed/6480b216e06949528b76d6e97f45db99?sid=b9f2f758-65c8-4254-a892-90fbaddc01cc","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"497a2198-fced-4aca-bf1c-ae6a517dab27","2b4b56cc-97fe-4211-b3e8-3c175ef37532","Операторът за сливане на null стойности (??) ","67","https://www.loom.com/embed/d75a9c67c26b4e2ea3000e3939a147dd?sid=dac0519a-e942-4d80-b663-fa71333fe52f","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"49f67185-2564-4a57-8e54-7e55b810eb7f","efd084e0-2f8d-40d3-81c5-c0090e40a018","Land Book","25",,"506a4a8b-90c5-425c-b141-6a7ae91d3ab6"
"4a107c9a-8c12-4ee9-a035-b5f22a3c48fa","bf7c2023-a1ce-433c-801c-750caf99ebfa","Предизвикателство #1","9",,"37650f84-ee3e-4caf-9ee1-67696af68583"
"4a755fdf-147f-4a8c-9910-4be8db77f579","9b649395-a843-45bf-b3bb-849884262530","Въведение във Flexbox 2","39","https://www.loom.com/embed/3f36fb2556d14a94846661d18724bf90?sid=285b6a41-000c-4389-9dd5-be53b77d0706","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"4ae3cab7-b0b0-409e-8e12-676bc2166222","2585dbe8-742c-440c-8bf1-fb5a7b940ab4","Принципи на адаптивния (responsive) дизайн","53","https://www.loom.com/embed/e81336e530a2494897425b5e9006bd9b?sid=a36212c9-8265-4d09-afaf-740abe8f616d","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"4b16b558-846d-4aa5-8e53-cb35bc3ff25f","66bd1026-a3a7-4a45-92e5-ea06b91764bf","Центриране на страницата","27","https://www.loom.com/embed/3657868f28d24cafb385b3edd422ee77?sid=9e55bbd5-3184-40ae-98bd-907d3c519331","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
